<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
ARSF-RM;60;08/12/20;16:00:00;15680.0000000;15680.0000000;15659.0000000;15663.0000000;137
ARSF-RM;60;08/12/20;17:00:00;15659.0000000;15659.0000000;15630.0000000;15659.0000000;39
ARSF-RM;60;08/12/20;18:00:00;15659.0000000;15716.0000000;15607.0000000;15630.0000000;312
ARSF-RM;60;08/12/20;19:00:00;15672.0000000;15750.0000000;15662.0000000;15750.0000000;188
ARSF-RM;60;08/12/20;20:00:00;15750.0000000;15859.0000000;15750.0000000;15859.0000000;96
ARSF-RM;60;08/12/20;21:00:00;15859.0000000;15873.0000000;15841.0000000;15864.0000000;24
ARSF-RM;60;08/12/20;22:00:00;15862.0000000;15900.0000000;15862.0000000;15898.0000000;72
ARSF-RM;60;08/12/20;23:00:00;15924.0000000;15924.0000000;15900.0000000;15900.0000000;31
ARSF-RM;60;09/12/20;00:00:00;15928.0000000;15928.0000000;15898.0000000;15898.0000000;27
ARSF-RM;60;09/12/20;11:00:00;15872.0000000;15893.0000000;15831.0000000;15889.0000000;62
ARSF-RM;60;09/12/20;12:00:00;15888.0000000;15888.0000000;15831.0000000;15831.0000000;98
ARSF-RM;60;09/12/20;13:00:00;15871.0000000;15871.0000000;15815.0000000;15819.0000000;17
ARSF-RM;60;09/12/20;14:00:00;15845.0000000;15845.0000000;15815.0000000;15815.0000000;65
ARSF-RM;60;09/12/20;15:00:00;15846.0000000;15900.0000000;15846.0000000;15900.0000000;8
ARSF-RM;60;09/12/20;16:00:00;15900.0000000;15900.0000000;15880.0000000;15883.0000000;32
ARSF-RM;60;09/12/20;17:00:00;15883.0000000;15894.0000000;15844.0000000;15844.0000000;20
ARSF-RM;60;09/12/20;18:00:00;15885.0000000;15909.0000000;15773.0000000;15773.0000000;169
ARSF-RM;60;09/12/20;19:00:00;15773.0000000;15800.0000000;15733.0000000;15800.0000000;125
ARSF-RM;60;09/12/20;20:00:00;15821.0000000;15871.0000000;15821.0000000;15821.0000000;28
